original_title,summary
"Alice Wong, disability rights advocate and wordsmith, dies at 51 - The Washington Post","Alice Wong, a prominent disability rights advocate and founder of the Disability Visibility Project, passed away on November 14, 2025, at the age of 51. Wong was celebrated for her significant contributions to promoting disabled culture and justice."
"Federal immigration agents launch crackdown in Charlotte, DHS announces - CBS News","The Department of Homeland Security (DHS) has initiated an operation called ""Charlotte's Web"" aimed at targeting undocumented immigrants in the Charlotte area. This crackdown was announced by federal immigration agents, marking a significant enforcement effort in the region."
Texas vs. Georgia live updates: Georgia snatches the lead - AP News,"In the AP News article by Maura Carey and Luena Rodriguez-Feo Vileira, the Georgia Bulldogs are competing against the Texas Longhorns in a pivotal college football matchup that could influence the SEC title race and playoff rankings. The article"
Teresa Giudice Details Joe and Melissa Gorga Reconciliation: 'Time Heals All Wounds' (Exclusive) - TooFab,"In an exclusive interview with TooFab at BravoCon 2025, Teresa Giudice discusses her reconciliation with her brother, Joe Gorga, and sister-in-law, Melissa Gorga, ending their long-standing feud. She emphasizes the sentiment that """
Oklahoma outlasts Alabama: Sooners keep CFP hopes alive with gritty road win - CBS Sports,"In a notable victory, Oklahoma defeated Alabama, keeping their College Football Playoff aspirations alive. The Sooners secured the win by forcing three turnovers and sacking Alabama's quarterback, Ty Simpson, four times, marking their most significant triumph since entering the SEC"
Ex-Fed Governor Kugler Faced Ethics Probe Before She Resigned - Bloomberg.com,"Former Federal Reserve Governor Adriana Kugler resigned in August 2025 amid an internal ethics probe, which revealed violations of Fed ethics rules. Her resignation enabled President Donald Trump to appoint a political ally to the central bank. Documents indicating the nature of her"
Refugees to face 20-year wait to settle permanently under asylum reforms - BBC,"The article discusses upcoming asylum system reforms in the UK, set to be announced by Home Secretary Shabana Mahmood. The key change will require refugees to wait up to 20 years before they can settle permanently in the country."
LIVE! UFC 322 Results: JDM vs. Islam - MMA Fighting,"The article by Bryan Tucker provides results from UFC 322, featuring the fight between JDM and Islam, held in New York City. It details the outcomes of the event, highlighting key moments and performances from the fights."
JPMorgan doesn’t want to pay Frank founder Charlie Javice’s legal bills - TechCrunch,"JPMorgan is refusing to pay legal bills for Charlie Javice, the founder of Frank, as her legal team submitted expenses such as luxury hotel upgrades, excessive billing hours, and costly personal items like cellulite butter."
"Food stamps are back, but millions will soon lose benefits permanently - Politico","The article by Marcia Brown discusses the reinstatement of food stamps following a government shutdown, but warns that millions may soon lose their benefits permanently due to a new GOP tax and spending law. This legislation is expected to impact individuals enrolled in the nation's largest"
No. 3 Texas A&M somehow beats South Carolina 31-30 after trailing 30-3 at halftime - Yahoo Sports,"In a dramatic comeback, No. 3 Texas A&M overcame a 30-3 halftime deficit to defeat South Carolina 31-30. The Aggies secured the lead with over 10 minutes left in the game, showcasing resilience and determination."
Protests return to climate summit with calls for Indigenous rights (and a dash of Trump mockery) - Politico,"The article discusses the protests that emerged during a climate summit in Belém, Brazil, highlighting demands for Indigenous rights. This demonstration contrasts sharply with previous U.N. summits where dissent was suppressed. The protests also included elements of mockery towards former President"
Thousands protest crime and corruption in Mexico City as ‘Gen Z’ protests gain momentum - AP News,"Thousands protested in Mexico City against rising crime, corruption, and impunity, with the rally organized by Generation Z. The event garnered significant support from older opposition party members. This marks a continuation of Gen Z's activism, which this year has focused on"
Trump has suggested he’s made a decision on Venezuela military operations. Here’s what we know - CNN,"In an article by CNN, President Donald Trump indicated that he has reached a decision regarding military operations in Venezuela after receiving several high-level briefings and observing an increased U.S. military presence in the area. The article outlines the context of his determination and"
"Trump issues new pardons for January 6 rioters, including militia member and woman who threatened FBI - CNN","Former President Donald Trump has granted a new pardon to a militia member involved in the January 6 Capitol riot, addressing previously unpardoned firearms offenses in Kentucky. This action follows his earlier pardons related to the riot, highlighting ongoing support for individuals connected"
"Atmospheric river hits Southern California with risks of flash floods in fire-ravaged areas, ccoast - AP News","An atmospheric river is delivering heavy rainfall to Southern California, raising flash flood warnings, particularly in coastal Los Angeles areas recently affected by wildfires. The National Weather Service has issued alerts as the storm poses significant risks to these vulnerable regions."
YouTuber Jack Doherty faces drug charges after arrest in Miami Beach - WPLG Local 10,"YouTuber Jack Doherty was arrested in Miami Beach and is facing drug charges, according to Miami-Dade County records. The incident occurred on November 15, 2025."
